date,open,high,low,close,volume
2026-06-08,"1,035.00","1,035.00","1,035.00","1,036.10","3,108.30"
2026-06-05,"1,035.00","1,035.00","1,035.00","1,036.10",0.11
2026-06-04,"1,034.10","1,035.00","1,034.10","1,035.00",-0.1
2026-06-02,"1,036.00","1,036.00","1,036.00","1,036.00",-2.72
2026-05-25,"1,036.00","1,065.00","1,036.00","1,065.00",2.8
2026-05-15,"1,036.00","1,036.00","1,036.00","1,036.00",0.19
2026-05-04,"1,034.00","1,034.00","1,034.00","1,034.00",-0.86
2026-04-30,"1,075.00","1,075.00","1,075.00","1,043.00",-2.98
2026-04-27,"1,060.00","1,060.00","1,060.00","1,075.00",1.42
2026-04-22,"1,033.30","1,060.00","1,033.30","1,060.00",2.61
2026-04-15,"1,033.00","1,033.00","1,033.00","1,033.00",-1.77
2026-04-08,"1,050.00","1,051.60","1,050.00","1,051.60",2.0
2026-04-01,"1,029.60","1,031.00","1,029.00","1,031.00",-1.81
2026-03-30,"1,050.00","1,050.00","1,050.00","1,050.00",1.94
2026-03-24,"1,030.00","1,030.00","1,030.00","1,030.00",-0.96
2026-03-19,"1,040.00","1,040.00","1,040.00","1,040.00",1.96
2026-03-17,"1,030.00","1,030.00","1,020.00","1,020.00",-1.92
2026-03-16,"1,040.00","1,040.00","1,040.00","1,040.00",1.01
2026-03-15,"1,031.00","1,031.00","1,029.60","1,029.60",-2.0
2026-03-12,"1,030.10","1,050.60","1,030.10","1,050.60",2.0
2026-03-01,"1,030.00","1,030.00","1,030.00","1,030.00",0.59
2026-02-17,"1,025.40","1,025.40","1,024.30","1,024.00",-0.87
2026-02-04,"1,033.00","1,033.00","1,033.00","1,033.00",-1.99
2026-01-27,"1,054.00","1,054.00","1,054.00","1,054.00",-1.95
2025-12-28,"1,075.00","1,075.00","1,075.00","1,075.00",-0.19
2025-12-23,"1,077.00","1,077.00","1,077.00","1,077.00",0.94
2025-11-30,"1,070.00","1,070.00","1,067.00","1,067.00",-1.2
2025-11-19,"1,078.00","1,080.00","1,078.00","1,080.00",-1.82
2025-11-16,"1,100.00","1,100.00","1,100.00","1,100.00",0.0
2025-11-13,"1,100.00","1,100.00","1,100.00","1,100.00",-0.13
2025-08-18,"1,095.00","1,111.00","1,095.00","1,101.40",0.49
2025-08-12,"1,088.00","1,096.00","1,088.00","1,096.00",0.05
2025-07-29,"1,095.50","1,095.50","1,095.50","1,095.50",1.14
2025-07-06,"1,083.20","1,083.20","1,083.20","1,083.20",0.0
2025-06-25,"1,083.20","1,083.20","1,083.20","1,083.20",2.0
2025-06-18,"1,062.00","1,062.00","1,062.00","1,062.00",0.16
2025-06-16,"1,060.30","1,060.30","1,060.30","1,060.30",0.22
2025-06-10,"1,059.20","1,059.20","1,059.20","1,058.00",-0.11
2025-05-26,"1,060.20","1,060.20","1,060.20","1,059.20",-0.09
2025-05-25,"1,060.50","1,060.50","1,060.50","1,060.20",-0.03
2025-05-06,"1,060.50","1,060.50","1,060.50","1,060.50",-0.51
2025-04-16,"1,065.33","1,065.33","1,065.33","1,065.90",0.05
2025-04-08,"1,048.10","1,048.10","1,048.10","1,065.33",-0.25
2025-04-01,"1,047.10","1,047.10","1,047.10","1,068.00",2.0
2025-03-25,"1,047.00","1,047.00","1,047.00","1,047.10",0.01
2025-03-24,"1,049.10","1,049.10","1,049.10","1,047.00",-0.2
2025-03-23,"1,060.00","1,060.00","1,060.00","1,049.10",-1.03
2025-03-09,"1,060.00","1,060.00","1,060.00","1,060.00",0.0
2025-02-25,"1,060.00","1,060.00","1,060.00","1,060.00",-1.85
2025-02-03,"1,061.00","1,080.00","1,061.00","1,080.00",0.0
2025-02-02,"1,058.70","1,059.70","1,058.70","1,059.70",-1.42
2025-01-26,"1,075.00","1,075.00","1,075.00","1,075.00",-0.01
2025-01-16,"1,075.10","1,075.10","1,075.10","1,075.10",-2.0
2025-01-02,"1,097.00","1,097.00","1,097.00","1,097.00",2.0
2024-11-27,"1,075.50","1,075.50","1,075.50","1,075.50",-1.33
2024-11-10,"1,090.00","1,090.00","1,090.00","1,090.00",1.87
2024-11-06,"1,070.00","1,070.00","1,070.00","1,070.00",0.47
2024-10-30,"1,065.00","1,065.00","1,065.00","1,065.00",0.0
2024-10-29,"1,065.00","1,065.00","1,065.00","1,065.00",0.75
2024-10-24,"1,057.10","1,057.10","1,057.10","1,057.10",0.08
2024-10-23,"1,056.30","1,056.30","1,056.30","1,056.30",0.03
2024-10-17,"1,056.00","1,056.00","1,056.00","1,056.00",0.38
2024-10-09,"1,052.00","1,052.00","1,052.00","1,052.00",-0.14
2024-09-25,"1,053.50","1,053.50","1,053.50","1,053.50",-1.82
2024-09-18,"1,073.00","1,073.00","1,073.00","1,073.00",2.0
2024-09-11,"1,052.00","1,052.00","1,052.00","1,052.00",-1.68
2024-09-10,"1,070.00","1,070.00","1,070.00","1,070.00",1.9
2024-09-02,"1,050.00","1,050.00","1,050.00","1,050.00",0.0
2024-09-01,"1,050.00","1,050.00","1,050.00","1,050.00",0.48
2024-08-22,"1,045.00","1,045.00","1,045.00","1,045.00",0.0
2024-08-21,"1,045.10","1,045.10","1,045.00","1,045.00",0.0
2024-08-15,"1,045.00","1,045.00","1,045.00","1,045.00",-0.95
2024-08-13,"1,045.00","1,055.00","1,045.00","1,055.00",1.44
2024-08-12,"1,040.00","1,040.00","1,040.00","1,040.00",0.0
2024-08-11,"1,040.00","1,040.00","1,040.00","1,040.00",0.0
2024-08-08,"1,041.00","1,041.00","1,040.00","1,040.00",0.0
2024-08-06,"1,040.00","1,040.00","1,040.00","1,040.00",0.19
2024-07-30,"1,019.50","1,038.00","1,019.50","1,038.00",-0.19
2024-07-24,"1,040.00","1,040.00","1,040.00","1,040.00",-1.89
2024-07-23,"1,058.40","1,060.00","1,058.40","1,060.00",-1.85
2024-07-11,"1,080.00","1,080.00","1,080.00","1,080.00",1.03
2024-07-01,"1,069.00","1,069.00","1,069.00","1,069.00",-1.93
2024-06-27,"1,060.80","1,090.00","1,060.80","1,090.00",4.81
2024-06-12,"1,040.00","1,040.00","1,040.00","1,040.00",-0.95
2024-06-11,"1,041.00","1,050.00","1,041.00","1,050.00",0.96
2024-05-29,"1,040.00","1,040.00","1,040.00","1,040.00",0.0
2024-05-22,"1,040.00","1,040.00","1,040.00","1,040.00",0.39
2024-05-19,"1,036.00","1,036.00","1,036.00","1,036.00",-0.96
2024-05-16,"1,047.00","1,047.00","1,046.00","1,046.00",-1.4
2024-05-09,"1,055.00","1,060.80","1,055.00","1,060.80",2.0
2024-04-24,"1,025.10","1,040.00","1,025.00","1,040.00",1.94
2024-04-18,"1,020.20","1,020.20","1,020.20","1,020.20",1.41
2024-04-14,"1,006.00","1,006.00","1,006.00","1,006.00",0.0
2024-04-07,"1,006.00","1,006.00","1,006.00","1,006.00",0.0
2024-04-04,"1,006.00","1,006.00","1,006.00","1,006.00",0.61
2024-04-02,999.90,999.90,999.90,999.90,0.0
2024-03-28,"1,025.00","1,025.00",999.00,999.90,-0.51
2024-03-26,"1,005.00","1,005.00","1,005.00","1,005.00",-1.95
2024-03-19,"1,025.00","1,025.00","1,025.00","1,025.00",0.69
2024-03-18,"1,018.00","1,018.00","1,018.00","1,018.00",1.9
2024-03-10,"1,000.00","1,000.00",999.00,999.00,-0.1
2024-02-28,"1,000.00","1,000.00","1,000.00","1,000.00",0.1
