date,open,high,low,close,volume
2026-06-08,"11,990.00","11,990.00","11,703.60","11,900.00","1,297,405.00"
2026-06-05,"11,990.00","11,990.00","11,703.60","11,900.00",-3.72
2026-06-03,"12,000.00","12,360.00","12,000.00","12,360.00",3.0
2026-06-02,"11,995.00","12,000.00","11,995.00","12,000.00",0.84
2026-06-01,"11,800.10","11,900.20","11,800.00","11,900.10",-2.15
2026-05-27,"11,990.00","12,725.40","11,990.00","12,162.00",2.24
2026-05-26,"11,895.00","11,895.00","11,895.00","11,895.00",1.67
2026-05-25,"11,705.00","11,705.00","11,700.00","11,700.00",-0.85
2026-05-22,"12,136.40","12,136.40","11,800.00","11,800.00",-2.77
2026-05-20,"11,999.00","12,136.40","11,999.00","12,136.40",3.0
2026-05-19,"11,738.00","11,783.00","11,440.00","11,783.00",-2.62
2026-05-15,"12,100.00","12,100.00","12,100.00","12,100.00",0.83
2026-05-14,"11,601.30","12,000.70","11,302.00","12,000.70",3.0
2026-05-13,"11,651.20","11,651.20","11,651.20","11,651.20",-2.06
2026-05-11,"11,896.50","11,896.50","11,896.50","11,896.50",3.0
2026-05-07,"11,550.00","11,550.00","11,550.00","11,550.00",-1.62
2026-05-04,"11,740.00","11,740.00","11,740.00","11,740.00",-2.96
2026-04-28,"11,900.00","12,097.80","11,745.50","12,097.80",1.66
2026-04-27,"11,901.00","12,000.00","11,900.00","11,900.00",-0.01
2026-04-24,"12,268.00","11,902.00","11,901.00","11,901.00",-2.99
2026-04-22,"12,100.00","12,268.00","12,100.00","12,268.00",3.0
2026-04-21,"11,911.00","11,911.00","11,911.00","11,911.00",-1.68
2026-04-17,"12,348.00","12,348.00","12,115.00","12,115.00",-3.77
2026-04-16,"12,590.00","12,590.00","12,590.00","12,590.00",-0.08
2026-04-15,"12,499.00","12,600.00","12,499.00","12,600.00",0.0
2026-04-13,"12,600.00","12,600.00","12,600.00","12,600.00",1.7
2026-04-09,"12,146.00","12,388.90","12,146.00","12,388.90",-0.03
2026-04-08,"12,204.00","12,645.00","12,204.00","12,393.00",3.58
2026-04-07,"11,970.00","11,970.00","11,965.00","11,965.00",-1.98
2026-04-06,"11,967.20","12,206.50","11,967.20","12,206.50",4.04
2026-04-05,"12,465.60","12,465.60","11,732.60","11,732.60",-7.76
2026-04-02,"11,990.00","12,720.00","11,750.00","12,720.00",4.0
2026-04-01,"12,232.00","12,400.00","12,231.00","12,231.00",0.25
2026-03-31,"12,545.00","12,546.00","12,200.00","12,200.00",-0.81
2026-03-30,"12,355.00","12,355.00","12,300.00","12,300.00",-0.45
2026-03-29,"12,863.00","12,863.00","12,355.10","12,355.10",-3.48
2026-03-26,"12,800.00","12,800.00","12,545.00","12,800.00",0.38
2026-03-25,"13,000.00","13,000.00","12,751.00","12,751.00",-0.38
2026-03-24,"13,148.90","13,420.90","12,800.00","12,800.00",-0.78
2026-03-23,"12,642.00","13,010.10","12,401.00","12,900.00",0.0
2026-03-22,"12,700.10","12,900.00","12,700.00","12,900.00",2.0
2026-03-19,"12,400.00","12,647.00","12,300.00","12,647.00",2.82
2026-03-17,"12,300.00","12,300.00","12,300.00","12,300.00",0.48
2026-03-16,"12,240.00","12,241.00","12,001.00","12,241.00",-1.9
2026-03-15,"12,240.00","12,478.00","12,240.00","12,478.00",3.98
2026-03-12,"12,011.00","12,100.00","11,956.00","12,000.00",-1.64
2026-03-10,"12,000.00","12,200.00","12,000.00","12,200.00",2.98
2026-03-03,"11,614.00","11,847.00","11,614.00","11,847.00",-0.03
2026-03-01,"11,924.70","11,924.70","11,851.00","11,851.00",-2.61
2026-02-26,"11,927.00","12,168.00","11,927.00","12,168.00",0.0
2026-02-23,"11,930.00","12,168.60","11,930.00","12,168.60",4.03
2026-02-22,"11,697.00","11,697.00","11,697.00","11,697.00",-0.96
2026-02-17,"11,999.90","12,000.00","11,810.00","11,810.00",-1.58
2026-02-16,"12,000.00","12,000.00","12,000.00","12,000.00",0.0
2026-02-12,"11,950.00","12,000.00","11,950.00","12,000.00",0.0
2026-02-11,"12,000.00","12,000.50","12,000.00","12,000.00",0.0
2026-02-10,"12,000.00","12,000.00","12,000.00","12,000.00",1.44
2026-02-09,"11,975.00","11,975.00","11,800.00","11,830.00",0.76
2026-02-08,"11,755.00","11,755.00","11,741.10","11,741.10",-1.8
2026-02-05,"11,900.00","11,956.00","11,900.00","11,956.00",2.0
2026-02-04,"11,722.00","11,722.00","11,722.00","11,722.00",-0.58
2026-02-03,"11,764.00","11,790.00","11,530.00","11,790.00",-1.75
2026-02-02,"12,000.00","12,000.00","12,000.00","12,000.00",-0.25
2026-02-01,"11,700.00","12,030.00","11,700.00","12,030.00",1.95
2026-01-29,"12,010.00","12,010.00","11,800.00","11,800.00",-3.5
2026-01-28,"12,228.00","12,228.00","12,228.00","12,228.00",1.9
2026-01-27,"12,200.00","12,200.00","11,961.00","12,000.00",0.32
2026-01-26,"11,971.00","11,971.00","11,962.00","11,962.00",-1.95
2026-01-25,"11,900.00","12,200.00","11,900.00","12,200.00",2.09
2026-01-22,"11,700.00","11,950.00","11,655.00","11,950.00",1.27
2026-01-21,"12,030.00","12,030.00","11,800.00","11,800.00",-1.91
2026-01-20,"12,150.00","12,150.00","12,000.00","12,030.00",0.72
2026-01-18,"11,944.00","11,944.00","11,944.00","11,944.00",2.0
2026-01-14,"11,680.00","11,760.00","11,670.00","11,710.00",-1.19
2026-01-13,"11,999.00","11,999.00","11,851.00","11,851.00",0.35
2026-01-12,"11,810.00","11,810.00","11,810.00","11,810.00",-1.58
2026-01-08,"11,900.00","12,010.00","11,900.00","12,000.00",1.91
2026-01-07,"11,775.00","11,775.00","11,775.00","11,775.00",-0.21
2026-01-06,"11,801.00","11,801.00","11,800.00","11,800.00",-1.67
2026-01-05,"11,998.00","12,000.00","11,998.00","12,000.00",-0.04
2026-01-01,"12,020.00","12,060.00","12,000.00","12,005.00",-0.46
2025-12-31,"12,030.00","12,060.00","12,010.00","12,060.00",0.5
2025-12-29,"12,000.00","12,000.00","11,980.00","12,000.00",-0.41
2025-12-28,"12,000.00","12,100.00","11,999.00","12,050.00",0.88
2025-12-24,"11,942.00","11,944.30","11,942.00","11,944.30",2.0
2025-12-23,"11,801.00","11,801.00","11,710.10","11,710.10",-2.42
2025-12-17,"12,000.00","12,000.00","11,950.00","12,000.00",-0.17
2025-12-16,"11,999.00","12,020.00","11,999.00","12,020.00",2.17
2025-12-15,"11,800.10","11,800.10","11,765.00","11,765.00",-0.3
2025-12-14,"11,800.00","11,800.00","11,762.00","11,800.00",0.0
2025-12-10,"11,860.20","11,860.20","11,800.10","11,800.30",-0.55
2025-12-09,"11,900.20","11,965.30","11,865.90","11,865.90",-1.1
2025-12-08,"11,987.00","11,999.00","11,900.10","11,998.00",0.09
2025-12-07,"11,875.00","11,987.00","11,872.00","11,987.00",0.52
2025-12-03,"11,900.00","12,107.80","11,870.40","11,925.00",-1.36
2025-12-02,"11,870.00","12,089.20","11,852.20","12,089.20",0.73
2025-11-30,"12,200.00","12,223.00","11,986.00","12,001.10",0.15
2025-11-27,"11,981.00","12,199.60","11,981.00","11,983.60",-1.96
2025-11-26,"12,003.00","12,222.80","12,003.00","12,222.80",1.71
2025-11-25,"12,194.00","12,194.00","12,004.40","12,017.00",0.14
2025-11-24,"12,097.80","12,099.00","12,000.10","12,000.10",0.0
2025-11-23,"12,000.00","12,000.00","12,000.00","12,000.00",-0.73
2025-11-20,"11,900.00","12,088.00","11,900.00","12,088.00",1.58
2025-11-19,"11,962.90","11,962.90","11,900.00","11,900.00",-2.51
2025-11-18,"11,968.00","12,207.00","11,968.00","12,207.00",-0.03
2025-11-17,"11,999.00","12,210.90","11,999.00","12,210.90",1.85
2025-11-16,"11,860.00","12,000.00","11,777.00","11,989.00",-0.9
2025-11-13,"11,951.80","12,098.00","11,951.80","12,098.00",3.24
2025-11-12,"12,089.00","12,089.00","11,718.00","11,718.00",-1.18
2025-11-11,"12,099.00","12,099.00","11,858.00","11,858.00",-1.59
2025-11-10,"11,952.80","12,050.00","11,950.00","12,050.00",-1.14
2025-11-09,"12,058.30","12,200.00","12,058.30","12,188.80",-0.89
2025-11-06,"12,300.00","12,341.80","12,298.80","12,298.80",1.64
2025-11-05,"12,300.00","12,300.00","12,100.00","12,100.00",-2.38
2025-11-04,"12,257.10","12,395.00","12,200.00","12,395.00",1.13
2025-11-03,"12,307.00","12,307.00","12,257.00","12,257.00",-1.78
2025-11-02,"12,235.00","12,479.00","12,235.00","12,479.00",-0.04
2025-10-30,"12,484.20","12,484.20","12,484.20","12,484.20",1.23
2025-10-29,"12,300.00","12,395.00","12,250.00","12,333.00",-0.02
2025-10-28,"12,335.00","12,335.00","12,335.00","12,335.00",1.96
2025-10-26,"11,900.00","12,098.00","11,701.00","12,098.00",0.0
2025-10-19,"12,097.00","12,098.00","12,000.00","12,098.00",1.66
2025-10-16,"12,000.00","12,000.00","11,900.00","11,900.00",-0.42
2025-10-15,"12,000.00","12,003.00","11,950.10","11,950.10",-0.42
2025-10-14,"12,000.10","12,001.30","12,000.00","12,000.00",-1.96
2025-10-13,"12,000.00","12,240.00","12,000.00","12,240.00",1.02
2025-10-12,"12,357.80","12,491.00","11,878.60","12,116.00",-3.92
2025-10-09,"12,364.40","12,610.00","12,364.40","12,610.00",4.03
2025-10-08,"12,260.80","12,260.80","12,103.00","12,122.00",-3.11
2025-10-07,"12,353.90","12,511.00","12,271.10","12,511.00",-0.75
2025-09-28,"12,606.00","12,606.00","12,606.00","12,606.00",-1.98
2025-09-25,"12,752.70","12,860.00","12,752.10","12,860.00",-0.32
2025-09-24,"13,000.00","13,000.00","12,901.00","12,901.00",-2.56
2025-09-23,"12,842.00","13,240.00","12,842.00","13,240.00",5.16
2025-09-21,"12,642.00","12,650.00","12,000.00","12,590.33",-2.4
2025-09-08,"13,189.00","13,200.00","12,800.00","12,900.00",-0.64
2025-09-07,"12,760.00","13,000.00","12,760.00","12,983.42",0.81
2025-09-04,"12,716.40","12,900.00","12,715.00","12,878.66",0.1
2025-09-03,"12,900.00","12,900.00","12,700.00","12,865.27",1.6
2025-09-02,"12,676.82","12,701.00","12,611.00","12,662.75",-0.11
2025-08-31,"12,650.10","12,700.00","12,650.10","12,676.82",-1.73
2025-08-28,"12,899.00","12,900.00","12,800.00","12,900.00",-0.04
2025-08-27,"12,800.00","12,910.00","12,800.00","12,905.00",1.98
2025-08-26,"12,655.00","12,655.00","12,655.00","12,655.00",1.97
2025-08-25,"12,501.00","12,501.00","12,403.00","12,410.00",-1.51
2025-08-24,"12,600.00","12,600.00","12,600.00","12,600.00",-0.47
2025-08-21,"12,650.00","12,660.00","12,650.00","12,660.00",-0.08
2025-08-20,"12,670.00","12,670.00","12,670.00","12,670.00",0.15
2025-08-19,"12,710.00","12,710.00","12,651.00","12,651.00",-0.31
2025-08-18,"12,690.00","12,690.00","12,690.00","12,690.00",0.24
2025-08-17,"12,680.00","12,680.00","12,655.00","12,660.10",-0.21
2025-08-14,"12,660.00","12,750.00","12,660.00","12,687.17",0.45
2025-08-13,"12,641.10","12,641.10","12,630.00","12,630.00",0.14
2025-08-12,"12,848.00","12,848.00","12,606.00","12,612.00",-0.57
2025-08-11,"12,454.40","12,703.40","12,454.40","12,684.66",-0.16
2025-08-07,"12,700.00","12,908.00","12,655.00","12,705.40",0.4
2025-08-06,"12,600.00","12,864.00","12,600.00","12,655.00",0.31
2025-08-05,"12,750.10","12,750.10","12,616.00","12,616.00",-1.18
2025-08-04,"12,767.00","12,767.00","12,767.00","12,767.00",-1.31
2025-08-03,"13,018.20","13,300.00","12,906.10","12,935.98",-2.56
2025-07-31,"12,999.00","13,530.00","12,760.00","13,275.87",4.12
2025-07-30,"13,050.00","13,050.00","12,750.00","12,750.76",-2.29
