date,open,high,low,close,volume
2026-06-08,762.00,764.90,755.10,755.20,"1,677,467.30"
2026-06-05,762.00,764.90,755.10,755.20,-0.63
2026-06-04,760.00,764.00,754.10,760.00,-0.39
2026-06-03,741.00,775.00,741.00,763.00,1.33
2026-06-02,745.00,753.00,730.40,753.00,0.05
2026-06-01,756.00,756.00,715.00,752.60,-0.45
2026-05-27,745.00,756.00,736.00,756.00,1.48
2026-05-26,740.00,752.00,740.00,745.00,0.0
2026-05-25,741.00,763.20,735.40,745.00,0.0
2026-05-22,732.00,745.00,732.00,745.00,-0.27
2026-05-21,733.00,750.00,732.00,747.00,-0.8
2026-05-20,750.00,753.00,745.00,753.00,0.4
2026-05-19,730.00,750.00,728.30,750.00,0.96
2026-05-18,730.00,742.90,725.30,742.90,0.12
2026-05-15,740.10,750.00,720.00,742.00,-2.03
2026-05-14,750.00,757.40,741.00,757.40,-0.08
2026-05-13,740.00,760.00,740.00,758.00,-0.52
2026-05-12,783.00,783.90,750.00,762.00,-1.17
2026-05-11,764.00,771.00,755.00,771.00,0.8
2026-05-08,745.00,764.90,725.00,764.90,2.67
2026-05-07,725.00,745.00,718.00,745.00,0.95
2026-05-06,728.20,750.00,728.20,738.00,-1.6
2026-05-05,725.30,750.00,725.30,750.00,0.47
2026-05-04,745.00,746.50,724.00,746.50,0.86
2026-04-30,730.10,749.00,730.10,740.10,-1.32
2026-04-29,755.60,755.60,740.00,750.00,-0.74
2026-04-28,769.00,769.00,755.00,755.60,-1.74
2026-04-27,766.00,774.80,750.00,769.00,0.39
2026-04-24,760.00,766.00,741.00,766.00,0.79
2026-04-23,750.00,760.00,740.00,760.00,-0.78
2026-04-22,751.00,766.00,750.00,766.00,-0.39
2026-04-21,787.90,787.90,750.00,769.00,-2.4
2026-04-20,820.00,820.00,770.00,787.90,0.88
2026-04-17,773.00,781.00,756.70,781.00,-0.76
2026-04-16,774.00,787.00,772.00,787.00,0.0
2026-04-15,804.00,806.00,787.00,787.00,-0.59
2026-04-13,792.00,796.00,781.00,791.70,-0.04
2026-04-10,790.00,800.00,781.40,792.00,-0.5
2026-04-09,780.00,799.00,776.10,796.00,2.05
2026-04-08,765.00,780.00,765.00,780.00,1.3
2026-04-07,775.00,775.00,750.00,770.00,-0.65
2026-04-06,745.00,775.00,745.00,775.00,4.31
2026-04-05,768.00,770.00,725.60,743.00,-5.11
2026-04-02,775.00,784.00,772.00,783.00,0.14
2026-04-01,800.00,800.00,765.00,781.90,-2.62
2026-03-31,786.00,803.00,770.40,802.90,2.15
2026-03-30,810.00,810.00,785.60,786.00,-3.32
2026-03-29,811.10,828.90,809.00,813.00,-1.69
2026-03-26,822.00,838.90,813.10,827.00,-0.55
2026-03-25,833.20,844.00,815.60,831.60,-1.59
2026-03-24,865.00,865.00,828.00,845.00,-1.16
2026-03-23,864.00,864.00,843.00,854.90,-1.13
2026-03-22,805.00,871.00,805.00,864.70,7.91
2026-03-19,802.00,813.00,788.30,801.30,1.17
2026-03-17,785.10,792.00,782.00,792.00,-0.63
2026-03-16,826.00,826.00,785.10,797.00,-1.59
2026-03-15,791.00,809.90,780.00,809.90,2.52
2026-03-12,787.20,800.00,785.00,790.00,-1.37
2026-03-11,820.80,820.80,790.10,801.00,-0.47
2026-03-10,806.50,830.00,789.00,804.80,1.78
2026-03-09,790.70,790.70,790.70,790.70,2.0
2026-03-03,747.50,775.20,745.00,775.20,1.88
2026-03-01,740.00,760.90,736.10,760.90,2.69
2026-02-26,741.00,741.00,727.00,741.00,-0.4
2026-02-25,742.00,762.00,742.00,744.00,-1.43
2026-02-24,762.70,762.70,740.00,754.80,0.91
2026-02-23,739.20,768.90,739.10,748.00,-0.8
2026-02-22,778.00,778.00,739.00,754.00,-2.45
2026-02-17,763.00,772.90,756.30,772.90,0.51
2026-02-16,767.00,772.00,756.10,769.00,0.13
2026-02-12,785.40,785.40,768.00,768.00,-0.26
2026-02-11,775.00,790.00,765.30,770.00,-0.65
2026-02-10,790.00,790.00,775.00,775.00,-2.39
2026-02-09,791.10,794.00,765.00,794.00,-0.13
2026-02-08,815.00,815.00,790.30,795.00,-1.24
2026-02-05,799.00,810.00,785.00,805.00,1.39
2026-02-04,809.00,813.10,793.00,794.00,-1.85
2026-02-03,812.00,812.00,801.10,809.00,-1.46
2026-02-02,792.00,824.00,792.00,821.00,1.62
2026-02-01,810.00,810.00,794.00,807.90,-0.26
2026-01-29,829.00,842.50,810.00,810.00,-1.94
2026-01-28,825.00,826.00,800.10,826.00,0.12
2026-01-27,860.00,860.00,812.00,825.00,-2.94
2026-01-26,831.00,850.00,825.00,850.00,0.6
2026-01-25,830.00,844.90,826.00,844.90,3.04
2026-01-22,805.10,820.00,805.10,820.00,0.21
2026-01-21,821.10,829.00,813.20,818.30,-1.28
2026-01-20,816.90,831.00,816.20,828.90,1.47
2026-01-18,811.00,820.00,801.10,816.90,2.73
2026-01-14,782.00,810.00,782.00,795.20,1.04
2026-01-13,790.70,801.00,787.00,787.00,-1.99
2026-01-12,808.00,816.00,800.00,803.00,-0.62
2026-01-08,804.00,812.00,796.00,808.00,-0.25
2026-01-07,808.00,814.90,800.10,810.00,-0.12
2026-01-06,801.10,817.00,801.00,811.00,0.12
2026-01-05,795.00,820.00,795.00,810.00,0.0
2026-01-04,808.00,810.00,787.60,810.00,-1.22
2026-01-01,820.10,826.00,800.00,820.00,0.26
2025-12-31,818.00,819.00,811.00,817.90,0.85
2025-12-29,813.90,817.00,801.20,811.00,-0.36
2025-12-28,795.00,813.90,790.00,813.90,3.03
2025-12-24,800.00,800.00,775.00,790.00,-1.25
2025-12-23,780.00,800.00,770.10,800.00,0.76
2025-12-22,785.00,794.00,761.10,794.00,-0.75
2025-12-21,775.10,800.00,760.00,800.00,1.52
2025-12-18,790.00,792.00,761.00,788.00,-0.19
2025-12-17,795.00,800.00,785.00,789.50,-0.06
2025-12-16,795.00,795.00,790.00,790.00,-0.49
2025-12-15,800.00,801.50,780.00,793.90,1.01
2025-12-14,770.00,789.00,770.00,786.00,2.48
2025-12-11,775.00,775.00,758.00,767.00,-0.26
2025-12-10,756.50,770.00,756.50,769.00,0.65
2025-12-09,764.00,765.60,764.00,764.00,0.0
2025-12-08,760.00,771.00,756.00,764.00,0.53
2025-12-07,770.00,784.00,758.00,760.00,-1.58
2025-12-03,760.10,787.00,760.10,772.20,-0.01
2025-12-02,788.90,788.90,772.20,772.30,-0.52
2025-12-01,794.00,794.00,771.00,776.30,-0.84
2025-11-30,810.00,814.00,782.90,782.90,-3.94
2025-11-27,810.00,820.00,785.00,815.00,1.88
2025-11-26,775.00,800.00,765.00,800.00,1.39
2025-11-25,775.00,800.70,761.00,789.00,0.51
2025-11-24,760.00,785.00,751.00,785.00,3.29
2025-11-23,759.00,766.00,740.00,760.00,2.01
2025-11-20,740.00,745.00,726.80,745.00,0.68
2025-11-19,738.00,752.70,727.00,740.00,-1.2
2025-11-18,742.50,749.00,735.10,749.00,0.88
2025-11-17,740.00,754.80,725.00,742.50,1.56
2025-11-16,734.10,754.90,720.00,731.10,-2.39
2025-11-13,737.10,749.00,737.00,749.00,0.27
2025-11-12,742.00,756.90,742.00,747.00,-1.19
2025-11-11,740.00,775.00,740.00,756.00,1.46
2025-11-10,750.10,762.90,740.00,745.10,-2.47
2025-11-09,760.00,769.00,745.20,764.00,-0.61
2025-11-06,740.00,768.70,740.00,768.70,2.9
2025-11-05,761.00,762.00,734.00,747.00,-0.01
2025-11-04,765.00,765.00,745.80,747.10,-2.34
2025-11-03,778.00,778.00,765.00,765.00,-1.92
2025-11-02,760.00,790.50,760.00,780.00,0.65
2025-10-30,745.00,775.00,744.10,775.00,2.11
2025-10-29,743.00,768.00,738.00,759.00,2.15
2025-10-28,719.00,743.00,705.00,743.00,5.39
2025-10-26,705.00,706.00,696.00,705.00,-1.81
2025-10-19,710.00,718.00,707.00,718.00,1.13
2025-10-16,736.00,736.00,696.00,710.00,-1.68
2025-10-15,759.00,759.00,722.10,722.10,-3.59
2025-10-14,784.90,784.90,734.00,749.00,-2.7
2025-10-13,762.00,775.00,733.10,769.80,-0.93
2025-10-12,764.50,777.00,747.10,777.00,-0.38
2025-10-09,782.30,804.90,775.50,780.00,1.69
2025-10-08,785.00,785.00,767.00,767.00,-4.13
2025-10-07,815.00,815.00,791.00,800.00,-3.26
2025-09-28,790.00,833.30,783.00,827.00,5.22
2025-09-25,780.10,805.00,780.00,786.00,-0.51
2025-09-24,800.00,800.00,784.00,790.00,-1.25
2025-09-23,785.00,810.00,785.00,800.00,2.4
2025-09-21,751.00,803.60,740.00,781.28,4.03
2025-09-18,766.20,766.20,751.00,751.00,-3.94
2025-09-08,789.91,790.00,775.60,781.81,-1.03
2025-09-07,786.10,793.00,780.00,789.91,0.58
2025-09-04,778.00,788.00,777.00,785.38,-0.61
2025-09-03,792.61,794.00,780.00,790.17,-0.31
2025-09-02,796.20,808.00,790.00,792.61,-0.76
2025-09-01,796.00,817.00,795.00,798.65,-1.59
2025-08-31,830.19,830.19,804.10,811.59,-2.24
2025-08-28,828.00,846.00,820.00,830.19,1.67
2025-08-27,803.10,825.00,803.10,816.59,0.06
2025-08-26,830.00,840.00,812.00,816.11,-2.99
2025-08-25,867.00,870.00,836.00,841.29,-1.1
2025-08-24,848.90,883.00,835.80,850.64,0.19
2025-08-21,851.00,858.00,840.10,849.04,-0.84
2025-08-20,874.00,874.00,854.00,856.27,-1.46
2025-08-19,853.00,874.00,853.00,869.00,1.4
2025-08-18,855.00,868.90,841.00,856.99,0.59
2025-08-17,860.00,865.00,840.00,851.96,-1.33
2025-08-14,897.70,897.70,861.00,863.45,-2.03
2025-08-13,910.00,910.00,880.00,881.32,-1.41
2025-08-12,923.00,937.90,888.00,893.96,-5.03
2025-08-11,970.00,970.00,923.10,941.27,-4.17
2025-08-07,945.00,998.00,945.00,982.19,4.41
2025-08-06,912.00,958.60,912.00,940.74,1.14
2025-08-05,906.10,959.00,906.10,930.14,0.83
2025-08-04,920.00,957.00,913.00,922.51,0.04
2025-08-03,945.00,960.00,919.00,922.12,-3.76
2025-07-31,965.00,986.00,946.00,958.14,-1.06
2025-07-30,"1,044.00","1,046.00",965.00,968.38,-5.42
2025-07-29,948.00,"1,023.90",948.00,"1,023.90",9.99
2025-07-28,950.00,958.90,921.00,930.88,-1.33
2025-07-27,951.00,964.70,930.20,943.44,1.05
2025-07-24,950.00,956.00,926.00,933.60,-1.33
2025-07-23,968.79,970.00,922.10,946.16,-2.34
2025-07-22,955.80,975.00,950.00,968.79,3.38
2025-07-21,910.00,997.00,906.00,937.15,1.9
2025-07-20,975.00,975.00,917.00,919.71,-3.93
2025-07-17,912.40,975.00,905.00,957.35,4.88
2025-07-16,880.24,939.00,870.00,912.82,3.7
2025-07-15,860.20,890.00,857.00,880.24,0.67
2025-07-14,897.00,897.00,865.00,874.38,-2.58
2025-07-13,891.00,908.00,880.00,897.57,2.68
2025-07-10,879.00,890.00,854.30,874.11,1.41
2025-07-09,825.00,865.00,825.00,861.97,3.72
2025-07-08,830.00,850.60,819.40,831.05,-0.11
2025-07-07,838.85,838.85,831.30,832.00,-0.82
2025-07-06,879.80,879.80,836.10,838.85,-2.8
2025-07-03,850.00,864.90,850.00,863.05,-0.13
2025-07-02,869.00,869.90,845.00,864.19,0.08
2025-07-01,830.10,864.90,824.00,863.52,3.02
2025-06-30,811.80,843.00,811.80,838.22,1.29
2025-06-29,805.00,836.00,805.00,827.55,2.74
2025-06-26,831.90,831.90,805.00,805.48,-1.25
2025-06-25,809.10,821.90,809.00,815.71,-0.77
2025-06-24,821.50,830.00,815.00,822.00,-1.94
2025-06-23,806.00,839.00,805.00,838.25,3.2
2025-06-22,820.00,836.00,811.20,812.28,-1.22
2025-06-19,844.00,849.60,817.30,822.34,-4.44
2025-06-18,879.90,904.50,855.10,860.55,-1.02
2025-06-17,855.00,877.00,847.00,869.43,2.48
2025-06-16,834.80,860.00,815.00,848.35,2.21
2025-06-15,820.00,831.10,816.00,830.04,-0.3
2025-06-12,831.00,843.00,820.00,832.57,-0.73
